epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,188.291,1.08652,0.78984,0.99153,0.60742,0.63454,0.58584,0.34695,1.60923,1.57025,1.37123,0.003796,0.003796,0.003796
96,190.21,1.0823,0.76852,0.98835,0.62018,0.62273,0.58672,0.33775,1.6832,1.62173,1.42701,0.00373,0.00373,0.00373
97,192.126,1.07304,0.7695,0.98953,0.67044,0.61049,0.60815,0.35141,1.64191,1.53234,1.40718,0.003664,0.003664,0.003664
98,194.102,1.07777,0.77998,0.99255,0.64031,0.64662,0.60438,0.34344,1.64095,1.60329,1.4118,0.003598,0.003598,0.003598
99,196.022,1.06545,0.76162,0.99272,0.61686,0.63078,0.587,0.34025,1.65559,1.54713,1.41061,0.003532,0.003532,0.003532
100,197.962,1.0496,0.75585,0.98329,0.67302,0.59348,0.60215,0.35792,1.62916,1.49898,1.39411,0.003466,0.003466,0.003466
101,199.927,1.05753,0.75617,0.97658,0.6666,0.55544,0.58196,0.3441,1.62415,1.54518,1.38842,0.0034,0.0034,0.0034
102,201.847,1.0679,0.75611,0.98772,0.62349,0.5817,0.55926,0.32756,1.65022,1.61424,1.42514,0.003334,0.003334,0.003334
103,203.787,1.07269,0.76518,0.99367,0.60946,0.60209,0.58477,0.3429,1.6532,1.55917,1.42483,0.003268,0.003268,0.003268
104,205.725,1.03463,0.7346,0.97994,0.64384,0.60666,0.6046,0.35622,1.64134,1.56419,1.40856,0.003202,0.003202,0.003202
105,207.661,1.04444,0.74142,0.98157,0.64744,0.60423,0.59212,0.34113,1.62374,1.53698,1.38114,0.003136,0.003136,0.003136
106,209.702,1.0275,0.72756,0.97277,0.66585,0.60105,0.60283,0.35338,1.62973,1.54625,1.39123,0.00307,0.00307,0.00307
